disease,symptoms,context
absence seizures,"Brief loss of awareness, staring into space, subtle body movements like lip-smacking or blinking, sudden stop in ongoing activities, no memory of the seizure afterwards","absence seizures: Brief loss of awareness, staring into space, subtle body movements like lip-smacking or blinking, sudden stop in ongoing activities, no memory of the seizure afterwards"
acanthosis nigricans,"Dark, thickened, velvety patches of skin in body folds and creases, typically in the armpits, neck, groin, or under the breasts","acanthosis nigricans: Dark, thickened, velvety patches of skin in body folds and creases, typically in the armpits, neck, groin, or under the breasts"
achalasia,"Difficulty swallowing (dysphagia), regurgitation of food or liquid, chest pain, weight loss, heartburn or acid reflux","achalasia: Difficulty swallowing (dysphagia), regurgitation of food or liquid, chest pain, weight loss, heartburn or acid reflux"
achilles tendinitis,"Pain and stiffness in the Achilles tendon, especially in the morning, swelling around the tendon, difficulty walking or participating in physical activities, tenderness or warmth in the affected area","achilles tendinitis: Pain and stiffness in the Achilles tendon, especially in the morning, swelling around the tendon, difficulty walking or participating in physical activities, tenderness or warmth in the affected area"
achondroplasia,"Short stature, disproportionately short arms and legs, large head with a prominent forehead, bowed legs, limited range of motion at elbows and hips","achondroplasia: Short stature, disproportionately short arms and legs, large head with a prominent forehead, bowed legs, limited range of motion at elbows and hips"
acid reflux,"Heartburn, regurgitation of sour liquid or food, difficulty swallowing, chest pain, coughing or wheezing","acid reflux: Heartburn, regurgitation of sour liquid or food, difficulty swallowing, chest pain, coughing or wheezing"
acne,"Whiteheads, blackheads, pimples, cysts, oily skin, redness and inflammation, scarring","acne: Whiteheads, blackheads, pimples, cysts, oily skin, redness and inflammation, scarring"
acoustic neuroma,"Gradual hearing loss, ringing in the ear (tinnitus), imbalance or unsteadiness, facial numbness or weakness, headache","acoustic neuroma: Gradual hearing loss, ringing in the ear (tinnitus), imbalance or unsteadiness, facial numbness or weakness, headache"
acromegaly,"Enlarged hands and feet, facial changes such as protruding jaw or brow, thickening of skin, joint pain and stiffness, fatigue","acromegaly: Enlarged hands and feet, facial changes such as protruding jaw or brow, thickening of skin, joint pain and stiffness, fatigue"
actinic keratosis,"Rough, scaly patches or bumps on the skin, usually on sun-exposed areas like face, lips, ears, back of hands, or forearms, itching or burning sensation, color changes (red, pink, or flesh-colored)","actinic keratosis: Rough, scaly patches or bumps on the skin, usually on sun-exposed areas like face, lips, ears, back of hands, or forearms, itching or burning sensation, color changes (red, pink, or flesh-colored)"
